Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
1,"Arians, Bruce TBB Coach",49,2.882,3,6,-5,3,7,4,7,-4,0,-5,6,4,5,4,-4,7,4,7,Lizards,9,4
2,"McCarthy, Mike DAL Coach",44,2.588,-3,3,6,4,7,4,0,4,-5,7,-5,-3,5,4,5,7,-3,7,Lemmings,7,1
3,"McDermott, Sean BUF Coach",42,2.471,-4,7,6,7,6,-3,0,5,-3,7,-7,7,-4,-4,6,5,5,6,Platypi,7,5
4,"LaFleur, Matt GBP Coach",40,2.353,-7,6,3,5,3,5,5,3,-4,6,-3,4,0,5,3,3,7,-4,Bucklers,13,3
5,"Reid, Andy KCC Coach",38,2.235,4,-3,-4,5,-6,6,-7,3,4,7,5,0,5,7,4,7,-3,4,Ball Hawks,12,4
6,"McVay, Sean LAR Coach",33,1.941,6,3,5,-6,4,7,4,5,-5,-6,0,-4,7,4,5,4,3,-3,Tuggers,11,2
7,"Vrabel, Mike TEN Coach",29,1.706,-7,3,4,-3,6,3,7,3,5,3,-4,-6,0,6,-4,3,7,3,Spawners,13,1
8,"Kingsbury, Kliff ARI Coach",28,1.647,7,3,5,6,4,6,7,-3,5,-7,5,0,5,-4,-6,-4,3,-4,Hedgehogs,12,1
9,"Belichick, Bill NEP Coach",27,1.588,-3,6,-5,-3,3,-4,7,3,6,7,7,6,4,0,-5,-5,7,-4,Whiners,14,1
10,"Taylor, Zac CIN Coach",21,1.235,3,-3,5,3,-3,6,7,-3,-7,0,6,7,-6,-3,4,6,3,-4,Martians,10,0
11,"Reich, Frank IND Coach",18,1.059,-5,-3,-4,5,-4,7,5,-3,5,4,7,-4,7,0,5,4,-3,-5,Butchers,14,1
12,"Shanahan, Kyle SFO Coach",18,1.059,4,4,-3,-4,-4,0,-5,5,-5,6,6,4,-4,3,6,-3,5,3,Platypi,6,3
13,"Sirianni, Nick PHI Coach",11,0.647,7,-4,-6,-5,3,-4,-5,7,-3,6,5,-4,5,0,5,7,4,-7,Rockies,14,0
14,"Staley, Brandon LAC Coach",7,0.412,4,-3,4,5,4,-7,0,-3,3,-4,4,-5,6,5,-4,-5,6,-3,Alcoholics,7,0
15,"Payton, Sean NOS Coach",4,0.235,7,-6,5,-4,5,0,3,4,-3,-3,-5,-7,-5,6,4,-6,4,5,Butchers,6,2
16,"Flores, Brian MIA Coach",1,0.059,3,-7,-3,-5,-7,-3,-3,-5,4,5,4,6,5,0,4,6,-7,4,Fonzi,14,0
17,"Gruden, Jon FA Coach",1,0.2,4,4,3,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,8,0
18,"Bisaccia, Rich LVR Coach",-1,-0.083,0,0,0,0,0,5,5,0,-4,-7,-6,3,-3,-7,3,4,3,3,Cannons,8,1
19,"Tomlin, Mike PIT Coach",-3,-0.176,4,-4,-5,-5,4,3,0,4,3,0,-4,-7,3,-4,4,-7,5,3,Martians,7,2
20,"Zimmer, Mike MIN Coach",-3,-0.176,-3,-3,5,-4,3,4,0,-4,-3,4,3,-4,-3,4,4,-4,-7,5,Fonzi,7,0
21,"Carroll, Pete SEA Coach",-4,-0.235,5,-3,-5,4,-4,-3,-3,7,0,-6,-5,-3,4,6,-5,-3,6,4,Ball Hawks,9,1
22,"Harbaugh, John BAL Coach",-5,-0.294,-4,3,3,5,4,7,-7,0,3,-5,3,4,-3,-3,-3,-6,-3,-3,Rockies,8,2
23,"Stefanski, Kevin CLE Coach",-5,-0.294,-4,5,6,4,-4,-6,3,-4,7,-7,3,-4,0,3,-3,-3,-5,4,Hedgehogs,13,1
24,"Fangio, Vic DEN Coach",-8,-0.471,5,5,7,-5,-4,-5,-3,4,5,-6,0,5,-5,7,-4,-4,-6,-4,Cannons,11,0
25,"Bevell, Darrell JAC Coach",-11,-2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-4,-7,5,FA,7,0
26,"Rivera, Ron WAS Coach",-23,-1.353,-4,3,-6,4,-5,-6,-5,-4,0,5,4,3,3,-4,-5,-7,-4,5,Gunslingers,9,1
27,"Nagy, Matt CHI Coach",-28,-1.647,-6,3,-6,5,5,-5,-7,-5,-3,0,-3,3,-5,-5,-4,3,7,-5,Gunslingers,10,0
28,"Smith, Arthur ATL Coach",-31,-1.824,-7,-6,3,-4,4,0,3,-4,3,-7,-7,4,-5,4,-6,4,-5,-5,Alcoholics,6,0
29,"Rhule, Matt CAR Coach",-35,-2.059,4,6,5,-4,-3,-4,-6,4,-6,7,-4,-6,0,-4,-6,-7,-4,-7,Lizards,13,0
30,"Campbell, Dan DET Coach",-48,-2.824,-4,-6,-3,-5,-3,-6,-4,-7,0,0,-3,-3,3,-7,6,-4,-6,4,Spawners,9,0
31,"Culley, David HOU Coach",-49,-2.882,5,-5,-5,-7,-3,-7,-7,-5,-4,0,4,-4,-7,-6,5,5,-5,-3,Lemmings,10,0
32,"Judge, Joe NYG Coach",-50,-2.941,-5,-3,-3,4,-7,-7,6,-3,4,0,-6,4,-5,-5,-5,-7,-7,-5,Whiners,10,0
33,"Meyer, Urban FA Coach",-52,-4,-5,-5,-5,-3,-6,3,0,-7,3,-4,-6,-4,-7,-6,0,0,0,0,Tuggers,7,1
34,"Saleh, Robert NYJ Coach",-55,-3.235,-4,-6,-7,3,-4,0,-7,3,-5,-7,-4,4,-5,-6,-4,4,-4,-6,Bucklers,6
