#,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary,Column26
1,"Chiefs, Kansas City KCC Off",359.13,21.125,21.16,19.65,25.36,26.88,21.01,23.22,11.52,22.29,11.61,30.73,19.6,0,14.76,19.41,22.38,21.68,24.17,23.7,Cannons,12,4,
2,"Buccaneers, Tampa Bay TBB Off",359.03,21.119,22.93,14.48,19.13,21.93,30.99,24.72,23.24,15.63,0,13.69,26.06,19.77,23,23.14,13.31,22.98,25.51,18.52,Lizards,9,3,
3,"Bills, Buffalo BUF Off",343.29,20.194,15.63,17.67,27.68,25,22.08,20.51,0,20.53,13.28,23.17,15.08,20.08,10.9,21.73,14.61,25.84,24.53,24.97,Bucklers,7,6,
4,"Cowboys, Dallas DAL Off",339.07,19.945,26.03,18.82,18.15,22.99,23.95,29.01,0,21.32,3.2,26.43,11.28,21.86,16.56,16.44,18.59,24.91,16.78,22.75,Hedgehogs,7,2,
5,"Packers, Green Bay GBP Off",331.2,19.482,10.37,18.94,18.84,17.76,23.23,18.19,14.87,19.05,16.78,22.29,21.26,24.22,0,22.92,19.88,18.08,27.68,16.84,Butchers,13,3,
6,"Chargers, Los Angeles LAC Off",326.27,19.192,25.47,22.24,18.81,19.65,21.54,3.74,0,14.32,22.35,12.59,26.24,16.71,15.39,23.19,19.84,21.76,21.48,20.95,Alcoholics,7,1,
7,"Ravens, Baltimore BAL Off",324.7,19.1,18.18,29.18,15.36,20.18,27.19,21.56,11.79,0,33,16.87,16.72,20.59,16.28,14.92,15.62,14.27,15.56,17.43,Whiners,8,0,
8,"49ers, San Francisco SFO Off",320.86,18.874,21.51,20.93,15.44,21.46,10.89,0,13.65,21.26,12.61,20.05,22.24,24.44,16.2,16.9,23.66,19.17,16.23,24.22,Alcoholics,6,1,
9,"Patriots, New England NEP Off",320.74,18.867,24.79,13.05,13,13.82,20.81,16.3,29.53,20.81,16.44,25.06,17.24,19.57,13.98,0,14.95,12.64,30.13,18.62,Tuggers,14,0,
10,"Colts, Indianapolis IND Off",317.53,18.678,14.83,17.12,14.7,21.47,26.64,17.39,18.1,18.21,25.96,17.6,24.1,20.76,27.17,0,17,19.38,14.86,2.24,Martians,14,2,
11,"Cardinals, Arizona ARI Off",313.31,18.43,21.98,22.47,23.96,25.7,16.12,20.56,19.91,15.52,22.61,-0.18,27.64,0,12.21,16.91,15.69,14.34,22.72,15.15,Lemmings,12,1,
12,"Raiders, Las Vegas LVR Off",308.77,18.163,22.23,22.25,24.91,5.64,8.77,18.78,25.01,0,21.09,10.72,11.59,27.27,16.8,13.45,18.84,21.76,18.28,21.38,Platypi,8,0,
13,"Titans, Tennessee TEN Off",308.16,18.127,5.69,29.21,22.04,21.4,19.79,18.86,24.07,17.7,10.82,16.17,19.1,15.15,0,17.39,17.04,12.34,18.49,22.9,Gunslingers,13,2,
