#,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary,Column26
1,"Carlson, Daniel LVR PK",237,13.941,17,28,16,1,5,12,10,0,9,2,11,28,19,2,16,9,21,31,Whiners,8,0,
2,"Folk, Nick NEP PK",234,13.765,16,22,11,4,26,3,17,21,7,11,26,29,12,0,5,3,11,10,Rockies,14,1,
3,"Tucker, Justin BAL PK",234,13.765,15,10,28,17,3,18,9,0,14,6,16,20,9,24,8,3,23,11,Gunslingers,8,2,
4,"Boswell, Chris PIT PK",223.6,13.153,15,11,2,11,17,19,0,4.6,24,16,21,6,15,0,22,4,22,14,Bucklers,7,0,
5,"Gay, Matt LAR PK",220,12.941,16,13,14,10,13,10,14,8,18,6,0,12,21,22,16,16,1,10,Lizards,11,1,
6,"Joseph, Greg MIN PK",211,12.412,12,18,18,1,27,9,0,16,9,13,13,1,17,16,7,15,10,9,Platypi,7,0,
7,"McPherson, Evan CIN PK",208,13,17,11,10,6,-1,14,17,7,4,0,35,19,7,15,21,12,14,0,Ball Hawks,10,0,
8,"Prater, Matt ARI PK",199,11.706,8,19,9,19,5,23,9,3,7,8,6,0,11,27,6,0,21,18,Fonzi,12,0,
9,"Elliott, Jake PHI PK",198,11.647,10,5,3,14,13,0,2,22,6,18,28,1,27,0,11,10,16,12,Alcoholics,14,0,
10,"Butker, Harrison KCC PK",192,12,13,5,8,6,16,13,6,12,13,13,13,0,19,20,10,0,9,16,Platypi,12,2,
11,"Hopkins, Dustin LAC PK",187,11,17,22,3,2,14,13,0,10,6,12,15,0,16,15,4,19,10,9,Butchers,7,3,
12,"Gano, Graham NYG PK",185,10.882,1,35,8,9,19,3,25,5,17,0,6,10,18,1,12,10,5,1,Hedgehogs,10,0,
13,"Zuerlein, Greg DAL PK",181,11.312,14,16,4,8,20,18,0,10,0,0,15,9,17,19,11,8,0,12,Whiners,7,1,
14,"McManus, Brandon DEN PK",178,10.471,11,19,24,1,9,8,2,8,18,4,0,4,7,14,9,16,16,8,Spawners,11,0,
15,"Koo, Younghoe ATL PK",172,10.118,6,7,7,6,17,0,18,15,11,5,-1,3,5,19,11,18,7,18,Lemmings,6,2,
16,"Bass, Tyler BUF PK",169,9.941,16,4,17,18,8,17,0,16,10,9,-2,9,4,9,7,11,3,13,Cannons,7,2,
17,"Bullock, Randy TEN PK",167,10.438,0,17,7,18,8,16,17,18,4,15,0,-2,0,10,9,14,14,2,Ball Hawks,13,2,
18,"Crosby, Mason GBP PK",157,9.235,5,5,26,9,19,8,6,6,-3,3,11,14,0,9,7,8,19,5,Lemmings,13,0,
19,"Succop, Ryan TBB PK",155,9.118,9,5,5,19,13,4,6,3,0,8,14,8,7,9,-2,24,10,13,Rockies,9,1,
