Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
1,"Allen, Josh BUF QB",395.09,23.241,10.76,15.23,44.8,21.7,42.35,29.63,0,29.55,0.9,23.36,13.53,33.62,6.99,32.7,16.52,34.5,16.6,22.35,Bucklers,7,23
2,"Brady, Tom TBB QB",387.34,22.785,31.75,34.02,23.86,4.43,44.95,22.15,28.15,24.25,0,14.9,20.05,9.74,31.2,31.97,-7,14,28.9,30.02,Platypi,9,3
3,"Herbert, Justin LAC QB",364.04,21.414,10.63,13.5,35.01,22.2,44.72,5.83,0,5.77,36.3,7.59,38.28,13.03,24.63,28.69,23.5,13.18,20.85,20.33,Rockies,7,9
4,"Mahomes, Patrick KCC QB",356.31,20.959,37.03,32.75,22.74,41.32,11.4,21.97,-2.84,6.89,6.26,44.3,1.56,0,7.96,19.98,31.6,23.94,24.05,25.4,Cannons,12,22
5,"Rodgers, Aaron GBP QB",345.09,21.568,-3.99,31.63,19.59,21.02,19.96,23.91,26.32,14.7,0,6.6,39.03,25.75,0,31.91,25.98,24.1,23.8,14.78,Tuggers,13,15
6,"Stafford, Matthew LAR QB",327.28,19.252,30.29,18.48,35.27,20.7,16.17,30.87,29.22,28.85,0.76,1.59,0,16.62,27.05,25.75,13.6,4.55,12.49,15.02,Ball Hawks,11,7
7,"Prescott, Dak DAL QB",320.49,20.031,29.97,3.61,18.28,36.1,23.2,31.55,0,0,14.6,30.7,-9.08,25.07,9.02,-0.65,9.79,33.16,23.86,41.31,Whiners,7,11
8,"Burrow, Joe CIN QB",291.55,18.222,15.79,1.83,24.2,26.06,15.97,25.17,29.62,17.63,-6.8,0,5.44,16.08,7.7,19.82,10.21,43.87,38.96,0,Hedgehogs,10,3
9,"Cousins, Kirk MIN QB",286.87,17.929,20.31,28.82,29.85,4.63,12.21,29.55,0,11.22,23.15,17.36,25.53,15.86,20.24,13.6,3.71,9.45,0,21.38,Cannons,7,1
10,"Murray, Kyler ARI QB",286.13,20.438,40.19,32.64,20,22.94,9.49,28.11,24.01,4.64,0,0,0,0,34.13,7.49,7.15,20.77,24.09,10.48,Fonzi,12,15
11,"Hurts, Jalen PHI QB",273.3,18.22,35.78,15.78,16.18,24.29,12.56,20.47,20.78,10.95,17.62,20.58,26.29,0.95,0,0,25.1,14.85,11.12,0,Lizards,14,4
12,"Wentz, Carson IND QB",224.07,13.181,15.93,13.07,-0.14,18.78,24.32,17.49,21.48,10.07,29.1,3.02,7.1,19.06,11.32,0,5.23,17.65,8.98,1.61,Fonzi,14,0
13,"Wilson, Russell SEA QB",216.91,15.494,32.58,23.53,15.7,21.85,7.96,0,0,0,0,-4.37,-0.53,19.19,12.55,19.7,-3.68,15.35,34.04,23.04,Butchers,9,10
14,"Tannehill, Ryan TEN QB",211.82,12.46,4.66,9.17,24.99,8.7,11.53,10.9,20.54,22.33,10.73,15.45,1.41,3.23,0,9.25,0.81,11.31,13.3,33.51,Lemmings,13,5
