Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
1,"Taylor, Jonathan IND RB",409.9,24.112,19.9,7.42,9.18,21.16,38.86,30.48,16.48,26.42,36.58,24.3,56.24,20.14,27.5,0,25.9,13.5,20.26,15.58,Martians,14,35
2,"Ekeler, Austin LAC RB",365.22,22.826,13.2,22.56,23.92,31.18,33.28,10.98,0,26.1,12.78,15.4,43.5,24.18,19,17.62,18.78,0,23.64,29.1,Fonzi,7,31
3,"Harris, Najee PIT RB",324.22,19.072,7.24,20.18,28.72,21.34,24.7,26.86,0,23.84,18.46,21.38,16.8,6.84,17.46,26.5,5.28,16.42,31.98,10.22,Rockies,7,26
4,"Mixon, Joe CIN RB",312.94,19.559,27.28,9.72,11.94,14.8,11.12,29.14,13.1,27.98,31.56,0,27.3,32.98,7.3,10.2,8.32,34.5,15.7,0,Lemmings,10,25
5,"Conner, James ARI RB",279.9,18.66,6.9,3.4,19.5,20.36,11.68,9.2,13.4,14.7,44.52,16.4,22.72,0,22.26,35.94,10.66,0,0,28.26,Tuggers,12,46
6,"Elliott, Ezekiel DAL RB",273.52,16.089,6.36,19.86,28.06,22.3,26.42,20.1,0,12.28,13.6,21.6,12.86,16.24,7.12,12.6,17.5,19.9,5.24,11.48,Lemmings,7,30
7,"Fournette, Leonard TBB RB",263.94,18.853,10.92,10.14,6.86,20.22,22.78,32.66,18.04,7.22,0,17,13.74,44.16,22.88,24.24,13.08,0,0,0,Butchers - IR,9,4
8,"Kamara, Alvin NOS RB",263.54,20.272,19.08,7.3,23.44,14.6,31.36,0,38.58,17.9,22.94,0,0,0,0,26.7,5.98,8.62,23.88,23.16,Gunslingers,6,34
9,"Gibson, Antonio WAS RB",247.54,15.471,11.38,9.84,22.48,16.62,22.92,4.4,6.3,8.9,0,24.04,9.4,25.1,23.28,4.4,19.34,15.14,0,24,Platypi - IR,9,18
10,"Jones, Aaron GBP RB",241.56,16.104,4.48,43.08,17.34,13.96,14.66,22.34,8.2,25.06,6.5,14.96,0,3.3,0,22.3,16.02,13.66,15.7,0,Martians,13,33
11,"Chubb, Nick CLE RB",238.54,17.039,23.68,17.58,10.6,13.4,26.14,0,0,9.48,32.26,0,24.44,7.08,0,10.06,18.22,31.08,7,7.52,Ball Hawks,13,28
12,"Jacobs, Josh LVR RB",237.58,15.839,17.86,0,0,10.52,17.34,18.04,17.24,0,13.94,8,10.94,21.9,23.08,7.16,14.92,13.3,18.62,24.72,Ball Hawks,8,18
13,"Harris, Damien NEP RB",233.22,15.548,14.02,14.62,2.52,5.8,11.2,19.52,26.12,16.3,11.48,0,8.54,13.52,20.1,0,0,32.1,18.82,18.56,Lizards,14,7
14,"Cook, Dalvin MIN RB",225.64,17.357,21.98,19.02,0,6.9,0,22.38,0,9.6,16.12,23.14,24.94,16.14,0,38.42,13.02,0,3.7,10.28,Spawners,7,36
15,"Williams, Javonte DEN RB",222.66,13.098,5.76,9.8,14.88,8.76,12.4,10.3,16.52,7.48,12.8,6.76,0,23.42,33.66,22.9,12.14,10.18,5.22,9.68,Ball Hawks,11,14
16,"Henry, Derrick TEN RB",217.49,27.186,12.04,51.5,22.56,29.2,33.9,37.38,21.31,9.6,0,0,0,0,0,0,0,0,0,0,Hedgehogs - IR,13,38
17,"Montgomery, David CHI RB",216.16,15.44,20.5,12.48,8.76,24.9,0,0,0,0,11.32,0,9.14,12.28,31.26,14.44,11.98,25.86,21.92,11.32,Spawners,10,19
