#,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary,Column26
1,"Jets, New York NYJ ST",59.16,3.48,-1.18,3.44,1.88,4.52,2.74,0,1.56,2.6,-0.16,2.8,7.48,-0.24,2.8,5.96,4.08,14.68,6.3,-0.1,Bucklers,6,0,
2,"Cowboys, Dallas DAL ST",54.36,3.198,-3.1,3.48,2.9,2.56,-0.56,1.64,0,1.7,1.54,7.64,0.28,12.08,3.3,1.94,5.4,8.22,5.52,-0.18,Rockies,7,0,
3,"Texans, Houston HOU ST",49.1,2.888,5.84,-0.72,4.02,1.8,1.08,5.02,4.24,3.38,2.1,0,3.56,2.24,0.94,1.34,11.32,-4.2,2.92,4.22,Gunslingers,10,0,
4,"Seahawks, Seattle SEA ST",44.8,2.635,3.72,-2.72,0.3,2.78,3.04,1.42,4.82,8.54,0,4.14,1.3,5.04,6.96,1.66,2,0.14,-0.74,2.4,Fonzi,9,0,
5,"Vikings, Minnesota MIN ST",40.66,2.392,-1.06,0.6,1.7,0.16,3,-2.12,0,2.3,11.04,5.12,2.08,13.72,4.78,-0.1,6.26,-7.86,1.78,-0.74,Bucklers,7,0,
6,"Rams, Los Angeles LAR ST",39.9,2.347,-4.42,2.16,1.38,0.88,4.96,2.12,1.72,-0.38,-0.88,2.28,0,4.38,3.28,2.08,2,10.86,2.92,4.56,Platypi,11,0,
7,"Bears, Chicago CHI ST",35.98,2.116,5.42,-0.66,-2.14,-3.82,5.1,6.18,-1.48,3.4,4.12,0,-0.22,2.8,0.6,16.54,-3.26,0.86,-1.2,3.74,Rockies,10,0,
8,"Saints, New Orleans NOS ST",35.6,2.094,-0.4,8.48,2.34,1.98,3.3,0,2.18,2.96,5.44,1.62,2.56,0.22,-0.3,-3.96,2.5,3.2,5.28,-1.8,Butchers,6,1,
9,"Bills, Buffalo BUF ST",35.24,2.073,1.48,2.68,2.24,-0.8,-0.1,-1.84,0,4.26,4.32,-0.8,1.02,1.78,5.56,3.54,1.06,3.24,2.5,5.1,Whiners,7,1,
10,"Chiefs, Kansas City KCC ST",33.4,1.965,3.42,3.14,0.14,2.04,2.1,3,0.32,1.88,6.84,-1.04,4.72,0,3.66,-0.66,-1.76,-1.76,7.06,0.3,Lizards,12,1,
