Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
1,"Andrews, Mark BAL TE",435.3,25.606,7,16.4,26.8,18.4,54.4,24.6,12.6,0,13.8,24.6,22.6,23,14,40,49.2,39,23.8,25.1,Platypi,8,12
2,"Kelce, Travis KCC TE",375.5,23.469,33.2,34.8,27.8,8.6,23.4,27.8,20,7.4,24.6,31.8,26.3,0,8.4,8.4,60.2,0,16,16.8,Gunslingers,12,36
3,"Schultz, Dalton DAL TE",288.6,16.976,15,5.6,34,23.6,21.8,20.8,0,4.2,14.8,3.8,16.6,19.2,13.6,1.8,27.4,30.4,16.8,19.2,Spawners,7,5
4,"Kittle, George SFO TE",287.9,20.564,19.6,5.4,26.4,12,0,0,0,0,30.2,21,16.8,3.6,57.8,49.2,24.6,6.8,7.5,7,Rockies,6,20
5,"Pitts, Kyle ATL TE",279.2,16.424,10.2,19.6,9,14,38.8,0,39.6,4.6,15.4,16,8.8,7.2,13.6,17.2,19.4,26.4,15.8,3.6,Lizards,6,11
6,"Ertz, Zach ARI TE",257.1,15.124,8.8,2.2,20.6,18,2.4,15.8,22.7,12.4,8.4,13.2,37.6,0,3,13.4,20.8,18.8,15.2,23.8,Platypi,12,0
7,"Gronkowski, Rob TBB TE",251.4,20.95,38,23.8,15,0,0,0,0,0,0,0,20.2,31.6,27.6,17.4,7.8,5.6,30,34.4,Cannons,9,1
8,"Goedert, Dallas PHI TE",247,16.467,18.4,6.8,15.2,20.2,7.6,0,18,20.4,11.6,7.6,17.4,1,39,0,34,9.6,20.2,0,Alcoholics,14,2
9,"Gesicki, Mike MIA TE",241.6,14.212,0,11.2,27.2,22.4,12.6,31,30,13.6,14.8,0,15,6.4,16.2,0,13.6,7.4,13.8,6.4,Cannons,14,2
10,"Fant, Noah DEN TE",226,14.125,18.4,16.6,5,21.2,7,34.4,12.8,3.6,0,16.8,0,5.4,10.6,14.2,16.4,9,30.4,4.2,Fonzi,11,3
11,"Henry, Hunter NEP TE",224.6,13.212,9.2,10.4,12.2,16.4,27,13,12.6,7.6,11.8,23.4,7,5.2,0,0,33.4,2.8,10.4,22.2,Bucklers,14,1
12,"Knox, Dawson BUF TE",221.8,14.787,12.2,11.4,19.8,24.4,32.4,9,0,0,0,4.4,22,21.4,4.8,25,11.6,10.2,0,13.2,Hedgehogs,7,0
13,"Hockenson, T.J. DET TE",202.6,16.883,34.4,27.2,4,12.4,6.4,22.8,15.6,27.8,0,0,16.2,16,19.8,0,0,0,0,0,Ball Hawks - IR,9,12
14,"Higbee, Tyler LAR TE",201,13.4,18.6,2.6,17,11.2,10.8,12.2,14.2,8,15.2,13,0,1.6,14.6,0,0,13.2,19.8,29,Tuggers,11,7
15,"Freiermuth, Pat PIT TE",200.4,12.525,5.8,11.2,13.4,3.2,3.4,18.6,0,18.8,25.6,9.2,12.2,18,9.2,14.4,11.4,0,9.4,16.6,Ball Hawks - IR,7,2
16,"Waller, Darren LVR TE",200,18.182,37,18,15.8,20,13,16.8,0,0,25.4,8.8,30.2,8.6,0,0,0,0,0,6.4,Martians,8,25
17,"Conklin, Tyler MIN TE",197.6,11.624,12.2,5,27,7.6,7,17.2,0,16.4,14,17.2,10,7,18.2,6,2.4,12.8,14.4,3.2,Whiners,7,1
18,"Cook, Jared LAC TE",186.8,11.675,16.2,8.6,7.4,26,6.8,15,0,7,14.6,3,8.6,13,8.8,9.6,9.4,12.8,0,20,Hedgehogs,7,0
19,"Kmet, Cole CHI TE",184.5,10.853,13.4,1,3.2,2.2,6.4,13.9,13.6,7.8,23.4,0,3.4,21,11.2,8.4,20.2,13.8,8,13.6,Alcoholics,10,1
20,"Uzomah, C.J. CIN TE",177.6,11.1,9,2.8,0,36,5.2,12,33.2,10.6,8.8,0,3.8,4.8,7,15.2,6.6,12.2,10.4,0,Ball Hawks,10,1
21,"Everett, Gerald SEA TE",165.9,11.06,12,1.6,15.8,0,0,10,6.5,2,0,20.6,10.4,18.4,1.4,12.4,16,23.6,10.2,5,FA,9,0
22,"Njoku, David CLE TE",157.2,9.825,18.2,5.6,0,5.4,44.8,2.2,5.6,10.8,10.6,3.2,6.2,16,0,0,8.8,0,15.6,4.2,FA,13,0
23,"Engram, Evan NYG TE",143.4,9.56,0,0,4.2,10.2,15,7.8,14.8,12,16.6,0,4.4,10.4,16.2,2.6,10.6,13.4,3.4,1.8,Lizards,10,1
24,"Hooper, Austin CLE TE",126,7.875,8.4,13,11.8,3.2,1,1.8,10.4,9.2,4.8,15,14.6,0,0,17,0,8.2,7.6,0,Rockies,13,1
25,"Moreau, Foster LVR TE",120.6,7.094,0,14.8,2.6,0,0,3.2,24,0,0,0,10.8,1.6,7.8,5.6,20,17.4,2.8,10,Martians,8,1
26,"Arnold, Dan JAC TE",111.6,10.145,3.2,14,6.6,7.8,12.8,7.4,0,21.6,16,19.4,0,2.8,0,0,0,0,0,0,Lemmings,7,1
27,"Okwuegbunam, Albert DEN TE",111.2,7.943,10.2,8.8,2.2,3.2,0,0,0,9.8,9,20.6,0,3.4,7.2,19.2,14.6,0,3,0,FA,11,0
28,"Doyle, Jack IND TE",110.4,6.494,7.2,18.8,3,5.8,1.8,0,0,10.4,9.2,9.2,9,28.2,3.6,0,1,0,0,3.2,Gunslingers,14,0
29,"Alie-Cox, Mo IND TE",109.2,6.424,0,4.6,4.8,23.4,13,12.6,14,0,6.6,2.2,0,2.6,1,0,0,10.4,6.6,7.4,Fonzi,14,2
30,"Firkser, Anthony TEN TE",107.5,7.167,6.8,0,0,7.6,9.6,3.2,2.8,2.6,2.4,1.4,16.2,1.7,0,10.8,3.8,3.6,13.8,21.2,Spawners,13,1
31,"Smythe, Durham MIA TE",105.9,6.229,2.8,0,0,3.2,6.6,16.8,10.4,0,7.4,5.6,11.4,11.9,0,0,1.8,9.2,10.4,8.4,FA,14,0
32,"Brate, Cameron TBB TE",103,6.059,0,2.6,11,7.8,3.4,8.2,0,5,0,8.2,7.4,7.6,7.6,4.2,6.4,10.2,9,4.4,Bucklers,9,2
33,"Smith, Jonnu NEP TE",99.7,6.231,14.1,9.6,1.8,11.8,8,2.8,13,4.6,2.3,0,4.4,13.8,3.4,0,3.9,0,5.6,0.6,FA,14,0
34,"Seals-Jones, Ricky WAS TE",98.2,7.554,0,10.8,0,5.8,13.2,21.6,16.2,4.4,0,9,0,0,0,2.6,11.8,0.2,2.6,0,Butchers,9,8
35,"Griffin, Ryan NYJ TE",91.2,6.514,7.4,4,2,2.6,1.8,0,4,2.4,15.6,5.2,10.8,7,11,7.6,9.8,0,0,0,FA,6,6
