#,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary,Column26
1,"Kupp, Cooper LAR WR",482.82,28.401,26.78,42.18,31.86,12.74,18.22,37.3,41.96,27.9,20.7,25.02,0,19.46,30.64,32.18,38.46,22.94,24.2,30.28,Ball Hawks,11,7,
2,"Samuel, Deebo SFO WR",390.5,24.406,38.74,18.88,11.02,41.16,18.18,0,23.5,30.36,12.58,34.12,17.6,21.62,0,14.52,20.7,31.64,20.18,35.7,Martians,6,2,
3,"Adams, Davante GBP WR",375.98,23.499,11.46,23.36,33.12,13.24,44.46,16.24,21.16,0,9.72,15.98,33.9,20.64,0,36.36,16.04,35.24,33.26,11.8,Hedgehogs,13,24,
4,"Jefferson, Justin MIN WR",373.51,21.971,14.41,19.4,29.38,22.44,23.34,14.8,0,3.96,19.74,27.08,43.44,16.48,40.72,21.84,15.52,22.56,12.28,26.12,Bucklers,7,16,
5,"Chase, Ja'Marr CIN WR",350.1,20.594,24.56,15.64,24.4,15.32,34.44,17.52,40.16,13.62,9.04,0,13.62,7.74,10.82,27.52,0.98,23.5,66.06,5.16,Tuggers,10,4,
6,"Hill, Tyreek KCC WR",316.24,18.602,43.52,5.34,10.66,53.26,15.18,22.66,12.74,27.04,7.62,29.08,20.22,0,4.52,14.16,35.68,4.04,9.7,0.82,Lemmings,12,22,
7,"Diggs, Stefon BUF WR",304.42,17.907,15.54,17.6,12.92,19.74,12.04,24.74,0,14.9,16.6,35.92,17.68,21.34,10.16,15.34,13.6,23.1,9.74,23.46,Cannons,7,22,
8,"Johnson, Diontae PIT WR",290.06,18.129,14.26,21.3,0,25.22,18.52,18.46,0,18.68,12.76,14.78,25.66,19.7,32.8,16.46,9.68,15.16,14.96,11.66,Rockies,7,8,
9,"Evans, Mike TBB WR",287.7,17.981,5.34,26.5,20.96,15.5,33.08,5.32,33.16,14.68,0,16.92,21.78,4.06,19.34,23.56,2.74,0,15.52,29.24,Fonzi,9,12,
10,"Williams, Mike LAC WR",276.36,17.273,23.12,24.06,36.02,2.26,42.4,5.32,0,4.04,10.28,7.28,24.02,8.24,20.1,12.76,9.34,0,17.58,29.54,Hedgehogs,7,7,
11,"Renfrow, Hunter LVR WR",275.58,16.211,14.2,11.62,20.82,16.2,11.96,7.26,12.78,0,17.34,16.86,7.4,25.74,20.82,29.22,12.02,13.9,21.66,15.78,Lizards,8,2,
12,"Lockett, Tyler SEA WR",274.6,17.163,30,38.48,6.96,5.84,11.62,6.6,2.92,28.72,0,4.68,20.4,16.86,20.38,32.22,0,6.3,12.14,30.48,Lemmings,9,8,
13,"Allen, Keenan LAC WR",269.68,16.855,18.5,19.28,18,9.26,15,10.5,0,21.32,22.64,19.68,22.42,17.1,20.94,0,21.08,7.6,15.04,11.32,Ball Hawks,7,14,
